INDEX	UUID	TYPE	STR	AG_A_TEXT	AG_A_LINKS	AG_A_STR	AG_B_TEXT	AG_B_LINKS	AG_B_STR	PMID	TEXT	IS_HYP	IS_DIRECT	CURATOR	CORRECT	NOTES	AG_A_IDS_CORRECT	AG_A_STATE_CORRECT	AG_B_IDS_CORRECT	AG_B_STATE_CORRECT	EVENT_CORRECT	RES_CORRECT	POS_CORRECT	SUBJ_ACT_CORRECT	OBJ_ACT_CORRECT	HYP_CORRECT	DIRECT_CORRECT
1	2d8e59e4-5992-4f3d-a36b-edd7d15d0d52	Inhibition	Inhibition(CDC37(), Proteasome())	CDC37	https://identifiers.org/uniprot/Q16543, https://identifiers.org/hgnc/HGNC:1735	CDC37()	proteasome	https://identifiers.org/fplx/Proteasome	Proteasome()	18931700	CDC37 silencing promoted the proteasome mediated degradation of kinase clients, suggesting a degradation pathway independent from HSP90 binding.		FALSE	BMG	0												
2	ff293bd5-74af-4533-b16d-76346c465cfe	Ubiquitination	Ubiquitination(TRAF6(), IKBKG(), K, 285)	TRAF6	https://identifiers.org/uniprot/Q9Y4K3, https://identifiers.org/hgnc/HGNC:12036	TRAF6()	IKKgamma	https://identifiers.org/uniprot/Q9Y6K9, https://identifiers.org/hgnc/HGNC:5961	IKBKG()	20932475	Moreover, we show that mutation of SUMO acceptor sites affects binding of TRAF6 and cIAP1 (D), which interacts inducibly with IKKgamma (H) and ubiquitinates IKKgamma at K285 in cotransfection experiments (D).		FALSE	BMG	1												
3	bf100836-70f1-436a-be32-5c96877ab4c4	IncreaseAmount	IncreaseAmount(UTRN(), SP1())	utrophin	https://identifiers.org/uniprot/P46939, https://identifiers.org/hgnc/HGNC:12635	UTRN()	Sp1	https://identifiers.org/uniprot/P08047, https://identifiers.org/hgnc/HGNC:11205	SP1()	11237613	The previous experiment demonstrated that both Sp1 and Sp3 activate the utrophin transcription in the heterologous SL2 cells.		TRUE	BMG	0												
4	c69be704-0b9c-4c70-9c57-e1d12db2ebab	Activation	Activation(KDM5D(), IFNG())	HY	https://identifiers.org/uniprot/Q9BY66, https://identifiers.org/hgnc/HGNC:11115	KDM5D()	interferon gamma	https://identifiers.org/uniprot/P01579, https://identifiers.org/hgnc/HGNC:5438	IFNG()	16988213	These HY specific CD8+ T cells produced interferon gamma (IFNG) following peptide stimulation, demonstrating their functional capacity.		FALSE	BMG	0												
5	bc09743d-d201-44ec-8b5e-14e50e6c1d64	Dephosphorylation	Dephosphorylation(RPS6KA5(), PRC2_complex(), S, 28)	MSK1	https://identifiers.org/uniprot/O75582, https://identifiers.org/hgnc/HGNC:10434	RPS6KA5()	PRC2	https://identifiers.org/fplx/PRC2_complex	PRC2_complex()	22349693	Here, MSK1 targeting also leads to S28 phosphorylation, displacement of PRC1 and PRC2, and gene desilencing.		FALSE	BMG	1												
6	20053298-8309-446d-81c4-579fafdf4a5b	Activation	Activation(AHCY(), DNMT3B())	SAHH	https://identifiers.org/uniprot/P23526, https://identifiers.org/hgnc/HGNC:343	AHCY()	DNMT3b	https://identifiers.org/uniprot/Q9UBC3, https://identifiers.org/hgnc/HGNC:2979	DNMT3B()	17688412	We found that clinically relevant levels of Hcy (0-500 microM) induced elevation of SAH, declination of SAM and SAM and SAH ratio, and reduction in expression of SAHH and MBD2, but increased the activity of DNMT3a and DNMT3b compared to the control group (p < 0.05).		FALSE	BMG	0												
7	60dedf7e-4832-4fd9-a2e3-317f2fc22c84	DecreaseAmount	DecreaseAmount(CHAF1A(), CHAF1A())	CAF	https://identifiers.org/uniprot/Q13111, https://identifiers.org/hgnc/HGNC:1910	CHAF1A()	CAF	https://identifiers.org/uniprot/Q13111, https://identifiers.org/hgnc/HGNC:1910	CHAF1A()	26921338	Treatment of patient CAF and TGFbeta treated normal fibroblasts with exogenous PEDF decreased the expression of CAF markers and restored PEDF expression.		FALSE	JAB	0	CAF grounding											
8	17ed2815-0d76-4f41-ae8a-a140ea3901ae	Activation	Activation(KDM3A(), MIGA1())	JMJD1A	https://identifiers.org/uniprot/Q9Y4C1, https://identifiers.org/hgnc/HGNC:20815	KDM3A()	FAM73A	https://identifiers.org/uniprot/Q8NAN2, https://identifiers.org/hgnc/HGNC:24741	MIGA1()	24742640	To validate the Affymetrix microarray data, we performed RT-PCR analysis of FAM73A and HTR2B, which were up-regulated by both JMJD1A siRNA-1 and N-Myc siRNA-1.		FALSE	JAB	0	polarity											
9	dcdfa0f5-ad6a-49fd-8620-968074c8e055	Phosphorylation	Phosphorylation(CK2(), BRD4())	CK2	https://identifiers.org/fplx/CK2	CK2()	Brd4	https://identifiers.org/uniprot/O60885, https://identifiers.org/hgnc/HGNC:13575	BRD4()	23317504	Our finding that phosphorylation of Brd4 by CK2 is necessary for Brd4 binding to chromatin and for Brd4 regulated gene transcription, including c-Myc, suggests that one of the major targets of elevated CK2 observed in various types of cancer is to maintain Brd4 chromatin binding activity in order to sustain high levels of c-Myc gene expression in cancer cells.		TRUE	JAB	1												
10	208fb3b1-ced9-4ccf-8733-5fd9753cdbf2	Dephosphorylation	Dephosphorylation(AKT(), CHEK1())	Akt	https://identifiers.org/fplx/AKT	AKT()	Chk1	https://identifiers.org/uniprot/O14757, https://identifiers.org/hgnc/HGNC:1925	CHEK1()	24081328	Hyperactivation of Akt inhibits Chk1 phosphorylation after hydroxyurea treatment, and this effect is dependent on TopBP1 phosphorylation at Ser 1159.		FALSE	JAB	1												
